Statistic,Beta,Gamma,Delta,Alpha
count,12.0,12.0,12.0,12.0
mean,11837.7666015625,11771.2421875,11793.5078125,11724.3251953125
std,199.89671325683594,123.11206817626953,95.9379653930664,139.2886962890625
min,11391.8232421875,11513.32421875,11588.375,11472.771484375
25%,11750.827880859375,11700.0986328125,11758.505615234375,11669.697509765625
50%,11870.6416015625,11779.658203125,11783.9912109375,11718.07861328125
75%,11959.873046875,11865.499267578125,11829.630859375,11785.859375
max,12125.1953125,11936.43359375,11972.63671875,11965.32421875
